cantidad,direccion_proveedor,fecha_modificacion,fecha_vencimiento,id,nombre_descripcion,numero_proveedor,proveedor,stock_maximo,stock_minimo,unidades
154,Cra. 12 #72-32 ,1666087890,1668914544,223,Olives - Stuffed,+57 362 7262720,Feedfish,195,21,b
92,Cra. 72 #92-62 ,1664993793,1671745319,224,Crackers - Water,+57 302 7242821,Mymm,182,20,kg
42,Cra. 62 #82-62 ,1665344067,1671536191,225,Irish Cream - Baileys,+57 332 2242728,Gabcube,182,20,u
120,Cra. 72 #52-42 ,1664625299,1668547978,226,Wine - Redchard Merritt,+57 312 3262925,Kwideo,183,23,lb
148,Cra. 62 #32-82 ,1665322918,1668752492,227,Huck Towels White,+57 352 5202727,Realfire,195,24,u
133,Cra. 32 #42-62 ,1665348108,1672360854,228,"Water, Tap",+57 332 0242222,Tazz,189,23,b
155,Cra. 22 #72-12 ,1666598418,1667403664,229,"Soup - Campbells, Butternut",+57 392 6252529,Flashset,198,22,b
149,Cra. 72 #12-42 ,1666409034,1672107714,230,Beef - Texas Style Burger,+57 372 6282123,Demivee,186,20,b
101,Cra. 52 #52-72 ,1664972532,1668879066,231,Bread - Raisin Walnut Pull,+57 352 0232023,Quaxo,180,22,u
97,Cra. 32 #82-42 ,1666982000,1670580207,232,Prunes - Pitted,+57 392 6262422,Wikido,183,22,u
147,Cra. 02 #02-22 ,1665585238,1670762650,233,"Tomatoes - Diced, Canned",+57 352 8232428,Twiyo,187,21,b
168,Cra. 52 #42-32 ,1665351238,1670004777,234,Bols Melon Liqueur,+57 342 3202526,Dynazzy,181,20,b
85,Cra. 02 #62-82 ,1665881199,1670565527,235,"Wine - Mas Chicet Rose, Vintage",+57 302 9292129,Photobean,199,22,b
36,Cra. 12 #92-32 ,1665939230,1672193819,236,"Nut - Walnut, Pieces",+57 342 4232426,Katz,187,20,u
87,Cra. 92 #32-52 ,1665669684,1669432903,237,Fib N9 - Prague Powder,+57 392 6272027,Twitternation,193,21,b
166,Cra. 92 #12-82 ,1665737698,1668167853,238,Bacardi Breezer - Strawberry,+57 392 8212224,Twitterwire,192,24,b
180,Cra. 32 #72-72 ,1665385007,1667605844,239,Spice - Chili Powder Mexican,+57 352 7232228,Yozio,199,24,u
142,Cra. 92 #32-52 ,1666663401,1667707000,240,Tilapia - Fillets,+57 382 3232827,Feednation,196,23,u
84,Cra. 82 #22-62 ,1665374762,1670936291,241,Sprouts - Brussel,+57 342 6252827,Trudoo,187,20,u
47,Cra. 62 #32-72 ,1664603832,1670079026,242,Shrimp - Tiger 21/25,+57 392 7222426,Photobug,188,25,u
115,Cra. 62 #72-32 ,1665255668,1667413254,243,Tea - Honey Green Tea,+57 322 5202121,Thoughtbeat,186,25,u
52,Cra. 52 #62-82 ,1667120992,1671889183,244,"Juice - Grapefruit, 341 Ml",+57 322 2222522,Fadeo,197,22,u
146,Cra. 82 #32-42 ,1665279912,1671946095,245,Nori Sea Weed,+57 362 9292329,Devify,183,20,u
103,Cra. 22 #22-22 ,1666087025,1669157964,246,Potatoes - Pei 10 Oz,+57 312 4232122,Realpoint,193,21,u
145,Cra. 42 #22-42 ,1665238398,1668830340,247,Longos - Chicken Cordon Bleu,+57 372 3212526,Skyba,183,25,lb
98,Cra. 12 #02-92 ,1665526743,1667592999,248,Pork - Caul Fat,+57 322 1282121,Babbleopia,191,24,u
71,Cra. 52 #42-02 ,1665731754,1672264861,249,Beer - Rickards Red,+57 322 9292428,Roodel,197,23,b
103,Cra. 82 #62-52 ,1665959902,1671195516,250,Tuna - Loin,+57 332 7272325,Kayveo,192,23,u
68,Cra. 32 #02-72 ,1667077482,1671160747,251,"Crab - Dungeness, Whole",+57 302 8272824,Oyoloo,189,24,u
152,Cra. 22 #82-62 ,1665382153,1671125783,252,Tart - Pecan Butter Squares,+57 322 0232926,Edgepulse,187,22,u
171,Cra. 22 #32-82 ,1666975174,1669207619,253,Wine - Fontanafredda Barolo,+57 322 0242021,Gabtune,191,20,lb
45,Cra. 72 #02-42 ,1665975296,1671655694,254,Salt And Pepper Mix - Black,+57 312 0232822,Pixoboo,183,23,u
174,Cra. 32 #52-92 ,1665973661,1671801477,255,Tea - Camomele,+57 372 8212020,Kwimbee,199,20,u
168,Cra. 22 #52-22 ,1666581610,1672188830,256,Wine - Rhine Riesling Wolf Blass,+57 372 6262329,Pixonyx,200,21,u
164,Cra. 72 #32-92 ,1665829994,1668817073,257,Tea - Orange Pekoe,+57 342 7202521,Livepath,197,25,kg
169,Cra. 12 #82-82 ,1666248381,1672045591,258,Pasta - Cheese / Spinach Bauletti,+57 362 4222923,Mybuzz,187,20,b
52,Cra. 62 #92-22 ,1665855711,1668265302,259,Bagel - Whole White Sesame,+57 322 7202323,Skimia,181,25,kg
88,Cra. 52 #72-02 ,1666882589,1669368849,260,Capon - Whole,+57 372 2272821,Photolist,200,20,b
36,Cra. 82 #12-92 ,1664782968,1667976524,261,"Octopus - Baby, Cleaned",+57 302 3202125,Minyx,186,23,u
63,Cra. 32 #52-22 ,1665735822,1669349902,262,"Jam - Strawberry, 20 Ml Jar",+57 332 1252325,Demivee,193,24,b
148,Cra. 52 #02-42 ,1666963737,1669009480,263,Cheese - Cream Cheese,+57 352 5292224,Fivechat,196,21,u
148,Cra. 02 #42-92 ,1665440589,1669520501,264,Pomello,+57 362 3282228,Shufflester,189,23,b
52,Cra. 52 #52-62 ,1665620571,1671760476,265,Flour - Strong,+57 302 9262721,Skaboo,195,24,b
99,Cra. 02 #72-22 ,1664853050,1668909122,266,Beer - Original Organic Lager,+57 332 7222424,Skilith,186,25,u
91,Cra. 82 #72-02 ,1666753084,1669795183,267,Couscous,+57 332 7252520,Edgeify,199,20,b
91,Cra. 22 #72-22 ,1666847877,1669796021,268,Cheese - Marble,+57 312 8292329,Photobug,185,21,lb
80,Cra. 32 #42-12 ,1665689761,1672026165,269,Quiche Assorted,+57 392 3292625,Meemm,198,24,u
171,Cra. 42 #22-42 ,1666423560,1668513322,270,Crackers - Melba Toast,+57 352 0222522,Fanoodle,200,22,u
114,Cra. 42 #02-32 ,1667151216,1670758562,271,Bread - Olive Dinner Roll,+57 352 6262728,Kwideo,192,25,b
154,Cra. 82 #82-62 ,1666717582,1667478698,272,Lettuce - Boston Bib,+57 302 7282023,Skibox,195,20,lb
134,Cra. 42 #12-12 ,1666243980,1669862886,273,Bacardi Raspberry,+57 392 6262729,Divape,194,20,u
137,Cra. 92 #52-82 ,1665166880,1667566634,274,Coffee - Decaffeinato Coffee,+57 362 4282029,Avamba,185,22,b
107,Cra. 22 #52-02 ,1665478660,1668181158,275,Shrimp - Tiger 21/25,+57 312 8242128,Ooba,181,23,lb
124,Cra. 12 #92-82 ,1667053991,1667446504,276,Crush - Cream Soda,+57 312 2252625,Edgeclub,200,22,u
134,Cra. 02 #52-32 ,1666066709,1671462484,277,Duck - Breast,+57 392 7232329,Jaxbean,187,23,b
122,Cra. 52 #12-12 ,1665675549,1671116764,278,Fork - Plastic,+57 342 9242620,Vimbo,200,25,u
140,Cra. 22 #52-42 ,1666915694,1672142173,279,Danishes - Mini Cheese,+57 322 8212124,Riffpedia,187,24,b
67,Cra. 82 #22-92 ,1665309167,1668210377,280,Wine - Sauvignon Blanc Oyster,+57 362 1222929,Oloo,190,23,lb
81,Cra. 42 #82-22 ,1665910786,1671804099,281,Salmon - Fillets,+57 312 7292028,Edgeclub,193,21,kg
65,Cra. 92 #92-12 ,1664885960,1672387294,282,Honey - Liquid,+57 332 3232329,Jayo,197,22,b
60,Cra. 02 #72-42 ,1665077051,1671417393,283,"Tart Shells - Barquettes, Savory",+57 332 5262922,Thoughtblab,185,20,b
89,Cra. 72 #42-82 ,1665728397,1668255451,284,Filter - Coffee,+57 362 7272522,Eabox,184,20,u
151,Cra. 72 #02-02 ,1666165500,1669037230,285,Extract Vanilla Pure,+57 322 4242421,Gigabox,199,22,lb
55,Cra. 22 #62-42 ,1665157003,1669055420,286,Truffle Cups - White Paper,+57 392 5242220,Livetube,197,23,b
107,Cra. 22 #32-62 ,1665285745,1670546958,287,Pickerel - Fillets,+57 392 4222128,Shuffledrive,190,21,kg
49,Cra. 32 #92-52 ,1664668030,1671565197,288,"Juice - Cranberry, 341 Ml",+57 352 8232621,Oyoyo,198,24,u
158,Cra. 02 #92-12 ,1666197864,1668063922,289,Skewers - Bamboo,+57 322 9222622,Wikizz,198,23,b
64,Cra. 12 #42-52 ,1665781395,1670192860,290,Pail For Lid 1537,+57 302 4282622,Thoughtsphere,194,21,u
152,Cra. 72 #92-72 ,1667159331,1667693133,291,Cookies Almond Hazelnut,+57 342 1292524,Skinix,187,25,u
104,Cra. 72 #02-22 ,1665087875,1667307573,292,Bay Leaf Ground,+57 342 0232922,Divanoodle,180,20,b
106,Cra. 62 #62-12 ,1666835138,1669553380,293,Cheese - Fontina,+57 352 1282923,Yombu,199,23,b
111,Cra. 12 #72-72 ,1664892933,1667311937,294,Octopus,+57 322 5232229,Linklinks,200,23,b
51,Cra. 42 #12-32 ,1665568738,1668883287,295,Beer - Pilsner Urquell,+57 312 7222928,Trupe,198,22,lb
134,Cra. 32 #22-02 ,1665687600,1669464682,296,Pastry - Cherry Danish - Mini,+57 352 2222123,Skipfire,185,25,b
105,Cra. 02 #92-42 ,1667045018,1669022158,297,Lighter - Bbq,+57 372 3252024,Gabtune,200,25,lb
134,Cra. 62 #52-72 ,1666081920,1668625553,298,Lady Fingers,+57 372 7202129,Topicstorm,181,21,lb
64,Cra. 92 #92-32 ,1666844695,1671371965,299,General Purpose Trigger,+57 382 6242228,Katz,181,21,u
116,Cra. 22 #52-92 ,1665888100,1668633662,300,Island Oasis - Strawberry,+57 342 0212822,Tagfeed,197,24,lb
37,Cra. 42 #02-42 ,1666578861,1671156862,301,Wine - Ej Gallo Sierra Valley,+57 342 8262029,Flipstorm,188,25,u
158,Cra. 22 #12-42 ,1666469643,1667303459,302,Banana - Green,+57 342 7212727,Thoughtstorm,191,21,b
139,Cra. 52 #72-02 ,1665699309,1670944538,303,Pepper - Cayenne,+57 332 5292325,Zoovu,200,20,u
163,Cra. 42 #72-42 ,1665016479,1668351490,304,Tomato Paste,+57 352 7292228,Viva,187,24,u
113,Cra. 72 #62-92 ,1665439855,1669043649,305,Chips Potato All Dressed - 43g,+57 392 5222928,Aibox,191,25,u
68,Cra. 52 #92-12 ,1664937261,1671837956,306,"Napkin - Cocktail,beige 2 - Ply",+57 342 0252321,Edgewire,195,20,b
139,Cra. 32 #82-22 ,1665958821,1672278546,307,"Salt - Rock, Course",+57 312 5212822,Buzzdog,180,21,b
102,Cra. 52 #92-12 ,1666898992,1669932840,308,Bread - White Mini Epi,+57 372 8222927,Photobug,195,25,b
29,Cra. 02 #82-62 ,1665742766,1672311516,309,Lamb Leg - Bone - In Nz,+57 322 5242424,Browseblab,180,20,lb
85,Cra. 12 #12-32 ,1666560200,1670940601,310,Beans - Kidney White,+57 302 8252824,Topiczoom,199,20,lb
110,Cra. 02 #72-92 ,1666653210,1668059058,311,Nestea - Iced Tea,+57 322 5232627,Tambee,192,24,b
169,Cra. 52 #02-52 ,1665383777,1671335869,312,Pork - European Side Bacon,+57 382 1292128,Livefish,181,25,u
106,Cra. 52 #82-52 ,1665450122,1669223718,313,"Pepsi - Diet, 355 Ml",+57 382 2262024,Yodoo,193,22,b
70,Cra. 32 #92-62 ,1665788925,1672121224,314,Schnappes Peppermint - Walker,+57 312 1282924,Youspan,194,25,b
99,Cra. 12 #32-12 ,1666276280,1667470742,315,Bols Melon Liqueur,+57 342 8282825,Centizu,199,23,u
158,Cra. 12 #62-02 ,1665259902,1669947254,316,Fondant - Icing,+57 372 9292926,Avaveo,181,25,b
29,Cra. 42 #82-72 ,1665004729,1667755106,317,Tart - Pecan Butter Squares,+57 362 7242125,Yambee,190,20,b
114,Cra. 02 #72-72 ,1666798451,1670786986,318,Sugar - Splenda Sweetener,+57 302 6272422,Rhynoodle,198,20,kg
136,Cra. 92 #52-72 ,1665803199,1667758184,319,Radish - Pickled,+57 302 6232526,Yadel,183,25,kg
69,Cra. 82 #62-12 ,1666744725,1670418565,320,Sour Cream,+57 322 8242922,Chatterbridge,194,22,u
128,Cra. 52 #02-12 ,1666936771,1672331603,321,Soup - Campbells Beef Noodle,+57 322 3202625,Feedspan,182,24,kg
139,Cra. 92 #12-52 ,1666424303,1668351390,322,Pasta - Angel Hair,+57 342 4262620,Eadel,193,20,b
30,Cra. 72 #62-52 ,1665786754,1671888713,323,Onions - Red Pearl,+57 322 6272328,Gabtype,198,24,b
94,Cra. 52 #32-22 ,1665802840,1669488658,324,Yokaline,+57 342 9202320,Zooveo,199,23,kg
106,Cra. 12 #82-42 ,1666169970,1668400766,325,"Mushroom - Chantrelle, Fresh",+57 382 0212224,Skalith,187,20,b
78,Cra. 82 #52-22 ,1666198676,1670226099,326,Beets - Mini Golden,+57 342 1282024,Kwideo,188,22,u
135,Cra. 42 #02-52 ,1666042521,1668668278,327,"Salmon - Whole, 4 - 6 Pounds",+57 322 2262426,Nlounge,180,25,b
113,Cra. 22 #22-42 ,1666015514,1672277701,328,Wine - Lamancha Do Crianza,+57 352 8282425,Kare,180,24,u
108,Cra. 82 #82-42 ,1665417170,1671186772,329,Pork - Ham Hocks - Smoked,+57 342 0212820,Quimba,196,24,u
62,Cra. 52 #72-92 ,1664974625,1671231995,330,Water - Green Tea Refresher,+57 372 7292326,Dabshots,191,20,u
35,Cra. 02 #32-12 ,1666195090,1671675802,331,Steampan - Half Size Shallow,+57 352 5292025,Yacero,193,22,b
52,Cra. 22 #22-32 ,1665935927,1669368428,332,Sauce - Balsamic Viniagrette,+57 382 2212121,Youspan,198,23,u
164,Cra. 72 #92-12 ,1665295199,1670735469,333,"Wine - White, Ej",+57 312 5252122,Quinu,197,25,kg
161,Cra. 52 #52-32 ,1666285357,1669897131,334,"Stock - Beef, Brown",+57 312 1262026,Fivespan,196,22,u
51,Cra. 72 #52-72 ,1664604965,1670558188,335,Smoked Tongue,+57 362 8262423,Rhyzio,196,21,u
113,Cra. 12 #52-52 ,1666906764,1667975295,336,Mushroom - King Eryingii,+57 382 4262723,Photojam,180,22,u
41,Cra. 32 #22-42 ,1665489083,1668871047,337,Huck White Towels,+57 382 4212325,Skynoodle,192,24,u
142,Cra. 02 #12-12 ,1666219191,1669038897,338,Icecream Bar - Del Monte,+57 392 0252327,Flashspan,194,21,u
54,Cra. 62 #32-32 ,1666613694,1668600766,339,Nori Sea Weed - Gold Label,+57 352 1212629,Jetpulse,195,22,u
79,Cra. 22 #82-12 ,1664590667,1671530236,340,Bread - Pumpernickel,+57 392 0222420,Oozz,185,25,b
46,Cra. 22 #72-02 ,1666458647,1667402701,341,Langers - Mango Nectar,+57 392 5262224,Leexo,192,24,u
170,Cra. 22 #12-32 ,1665135531,1669422265,342,Tomato - Green,+57 332 5202423,Skaboo,183,23,u
96,Cra. 02 #02-52 ,1666470704,1670560220,343,"Veal - Shank, Pieces",+57 332 8212926,Jabbertype,186,24,b
54,Cra. 52 #02-72 ,1665409148,1672353741,344,Coffee Cup 12oz 5342cd,+57 312 8262824,Twimm,192,22,b
128,Cra. 62 #72-12 ,1665809346,1667418315,345,Daikon Radish,+57 392 3222527,Photobug,196,25,lb
78,Cra. 32 #52-62 ,1666115299,1667274089,346,Rambutan,+57 312 6202020,Voonix,183,23,b
159,Cra. 92 #02-82 ,1666409778,1669344711,347,Coffee - Decaffeinato Coffee,+57 332 4282221,Youspan,200,21,u
133,Cra. 92 #02-22 ,1665310851,1670334619,348,Beer - Creemore,+57 312 8282321,Eazzy,200,22,lb
43,Cra. 82 #52-42 ,1666729967,1671531572,349,Beans - French,+57 332 6222725,Fivechat,197,22,lb
130,Cra. 62 #52-32 ,1666793612,1670112044,350,Flower - Leather Leaf Fern,+57 382 0202124,Ainyx,193,25,u
138,Cra. 72 #92-72 ,1665112710,1669883525,351,Onions - Vidalia,+57 352 3272621,Talane,191,24,u
64,Cra. 42 #02-12 ,1666922997,1669771803,352,Oil - Grapeseed Oil,+57 362 7232023,Feednation,200,25,b
143,Cra. 42 #52-12 ,1664808256,1670552790,353,"Turnip - White, Organic",+57 322 5272729,Eabox,180,22,b
59,Cra. 02 #02-42 ,1666969584,1671650324,354,"Schnappes - Peach, Walkers",+57 372 2272820,Zoomcast,198,25,lb
32,Cra. 82 #72-62 ,1665184902,1670584457,355,Wine - Cave Springs Dry Riesling,+57 312 9222326,Jabbertype,194,25,kg
132,Cra. 42 #02-32 ,1664652002,1670819048,356,Cabbage - Savoy,+57 342 0262125,Tagfeed,190,22,b
57,Cra. 42 #82-82 ,1666341121,1669595434,357,Beer - Mcauslan Apricot,+57 392 7222527,Jabberbean,197,23,kg
103,Cra. 72 #72-22 ,1666874517,1670081646,358,Chevere Logs,+57 332 3252529,Camimbo,182,25,u
55,Cra. 32 #02-62 ,1665084979,1667288123,359,"Butter - Salted, Micro",+57 322 2262427,Youbridge,186,20,u
50,Cra. 22 #32-12 ,1665938759,1669110478,360,Beef Flat Iron Steak,+57 372 0222922,Oba,200,22,u
133,Cra. 12 #92-52 ,1665019136,1672044264,361,Foil Cont Round,+57 352 8262425,Topicware,187,23,u
149,Cra. 02 #12-92 ,1664705066,1669971236,362,Mustard - Seed,+57 312 5262520,Browsebug,191,24,u
177,Cra. 02 #92-72 ,1666026372,1668723549,363,"Fish - Soup Base, Bouillon",+57 332 1262921,Quimm,192,24,u
34,Cra. 92 #12-52 ,1665512301,1668371986,364,Beans - Fine,+57 392 5262622,Mynte,192,25,u
148,Cra. 42 #52-22 ,1665032323,1670200198,365,"Water - Mineral, Carbonated",+57 302 4262827,Wordpedia,185,23,lb
111,Cra. 22 #72-42 ,1666401215,1668988822,366,Nescafe - Frothy French Vanilla,+57 312 5282425,Oyoyo,183,20,lb
38,Cra. 72 #42-72 ,1664893428,1672421644,367,Apples - Spartan,+57 372 8272023,Oba,194,20,u
78,Cra. 72 #82-72 ,1665313048,1670216492,368,Chocolate Bar - Smarties,+57 352 8272624,Agivu,184,20,u
135,Cra. 42 #52-62 ,1666394766,1670799954,369,Taro Leaves,+57 382 6252520,Rhyloo,181,21,u
179,Cra. 02 #72-02 ,1665209455,1672356518,370,Daikon Radish,+57 382 2252720,Skyba,181,24,u
110,Cra. 72 #22-72 ,1665214170,1671168359,371,Jagermeister,+57 352 7272923,Browsebug,181,20,u
73,Cra. 42 #12-82 ,1664979240,1667956998,372,Corn Shoots,+57 322 0262028,Eamia,192,21,u
48,Cra. 12 #22-92 ,1665862594,1669105686,373,Tarts Assorted,+57 302 0252325,Wikibox,192,22,u
25,Cra. 82 #92-02 ,1665367306,1668408849,374,Persimmons,+57 372 8232622,Devify,195,23,u
136,Cra. 72 #12-42 ,1664930219,1669234032,375,Wine - Casillero Del Diablo,+57 392 1212928,Twiyo,188,23,b
38,Cra. 82 #12-42 ,1665462200,1669728143,376,"Coffee - Colombian, Portioned",+57 372 9232129,Yoveo,189,21,b
53,Cra. 12 #62-12 ,1664909974,1669671114,377,Chocolate - Semi Sweet,+57 352 8262423,Quimm,195,22,u
58,Cra. 42 #12-22 ,1665032514,1672092598,378,Bols Melon Liqueur,+57 332 1242324,Jaxspan,193,23,u
126,Cra. 92 #42-82 ,1665481984,1668408008,379,Chicken - Livers,+57 342 1272225,Avamm,180,23,u
61,Cra. 12 #42-92 ,1667036310,1667935737,380,Mushroom - White Button,+57 352 9282228,Photobug,194,23,kg
34,Cra. 12 #22-72 ,1665712208,1669667317,381,Coffee Caramel Biscotti,+57 362 9222223,Vimbo,200,22,b
120,Cra. 62 #62-52 ,1666980062,1667488137,382,Mace Ground,+57 382 1242520,Wikibox,188,21,u
143,Cra. 12 #32-72 ,1666327520,1670662907,383,Pepper - Sorrano,+57 392 0282525,Flashpoint,197,22,b
110,Cra. 42 #12-82 ,1666859646,1669131828,384,Lidsoupcont Rp12dn,+57 352 0202322,Voonder,192,24,u
172,Cra. 72 #12-32 ,1665144784,1671364509,385,Grapes - Green,+57 302 0292120,Oyoloo,199,20,lb
68,Cra. 82 #62-42 ,1666760274,1667777667,386,Muffin Hinge - 211n,+57 372 0252821,Feedfish,184,25,b
137,Cra. 82 #52-32 ,1665348956,1668847919,387,Bagel - Whole White Sesame,+57 382 6292324,Izio,196,24,u
152,Cra. 22 #22-72 ,1666021152,1672334106,388,Wine - Sogrape Mateus Rose,+57 332 3222027,Blogtags,190,24,u
140,Cra. 82 #42-82 ,1667039895,1667709849,389,Flax Seed,+57 362 8242424,Wordtune,193,22,u
162,Cra. 42 #92-42 ,1666124549,1668639020,390,Calypso - Black Cherry Lemonade,+57 322 5292524,Oyoloo,197,24,u
152,Cra. 72 #72-32 ,1667005029,1667447381,391,Crab - Soft Shell,+57 362 3222928,Podcat,190,21,u
114,Cra. 32 #92-52 ,1665663874,1669186969,392,Cheese - Wine,+57 362 6292924,Feedfire,183,20,u
171,Cra. 42 #22-02 ,1664829558,1670870293,393,Blackberries,+57 302 2252923,InnoZ,181,25,u
67,Cra. 72 #12-62 ,1666775311,1670129069,394,Wine - Pinot Noir Latour,+57 342 8202122,Photolist,186,21,u
94,Cra. 12 #32-42 ,1664584210,1672057070,395,"Pepper - Chillies, Crushed",+57 312 2272228,Rhycero,195,25,kg
130,Cra. 82 #82-12 ,1666327057,1669990478,396,Ham - Cooked,+57 392 6252927,Tagopia,188,25,b
102,Cra. 02 #12-62 ,1666981472,1667797400,397,Glove - Cutting,+57 342 3262920,Quimm,197,20,b
142,Cra. 32 #42-12 ,1665642118,1671915033,398,Sobe - Liz Blizz,+57 382 6222626,Browseblab,190,23,lb
95,Cra. 02 #92-12 ,1664980629,1667335126,399,Nori Sea Weed,+57 362 6262621,Realcube,196,20,u
67,Cra. 22 #42-02 ,1666191994,1669431305,400,Tandoori Curry Paste,+57 352 3292021,Dabtype,196,25,lb
89,Cra. 92 #32-32 ,1664899058,1670928753,401,Cookie Chocolate Chip With,+57 352 9232520,Twimbo,195,20,b
42,Cra. 72 #52-72 ,1665376514,1670342511,402,Dragon Fruit,+57 352 6202221,Trudoo,199,24,u
50,Cra. 22 #92-72 ,1665927281,1667316077,403,Compound - Rum,+57 342 8222529,Voonder,191,25,b
51,Cra. 52 #72-62 ,1665310504,1672140431,404,Rosemary - Dry,+57 322 1282426,Pixoboo,192,21,u
110,Cra. 62 #12-52 ,1665563961,1671589124,405,Everfresh Products,+57 372 5202528,Wordtune,188,22,lb
54,Cra. 72 #82-32 ,1666931961,1671125031,406,Crackers - Soda / Saltins,+57 342 6282727,Demimbu,192,20,kg
102,Cra. 32 #82-02 ,1666431814,1667384522,407,Lamb - Ground,+57 372 3272028,Wikido,195,20,b
118,Cra. 02 #02-22 ,1665924367,1669726669,408,Turkey - Oven Roast Breast,+57 392 6272023,Ailane,194,21,u
103,Cra. 32 #32-12 ,1665947869,1672009128,409,"Asparagus - White, Fresh",+57 332 9222429,Bluejam,200,23,u
134,Cra. 82 #02-72 ,1667081774,1670963042,410,Zucchini - Yellow,+57 322 8292028,Yotz,193,21,u
106,Cra. 72 #22-52 ,1666869843,1668707127,411,Icecream Bar - Del Monte,+57 342 9292122,Zazio,198,20,b
175,Cra. 02 #32-62 ,1666455552,1671152143,412,Wine - Zonnebloem Pinotage,+57 352 8272620,Edgeblab,200,23,b
138,Cra. 92 #92-42 ,1664658483,1668454774,413,"Apple - Delicious, Golden",+57 382 1242525,Vinder,186,23,u
108,Cra. 42 #32-62 ,1666778929,1669187667,414,Chick Peas - Dried,+57 382 8202425,Eidel,186,21,kg
37,Cra. 72 #62-82 ,1665214999,1671150936,415,Plate Pie Foil,+57 312 0232925,Voonder,185,22,b
119,Cra. 22 #92-12 ,1666554042,1671195250,416,Wine - Savigny - Les - Beaune,+57 302 1222624,Babbleset,191,25,b
143,Cra. 72 #32-92 ,1666256301,1667737292,417,"Vermacelli - Sprinkles, Assorted",+57 352 2202222,Leenti,191,22,u
76,Cra. 52 #12-52 ,1667065503,1669678592,418,"Juice - Pineapple, 48 Oz",+57 372 6282427,Voonix,199,22,lb
46,Cra. 52 #22-12 ,1666496241,1672152523,419,Potatoes - Mini White 3 Oz,+57 322 1242028,Centidel,194,24,kg
36,Cra. 72 #92-62 ,1666628097,1669795295,420,Momiji Oroshi Chili Sauce,+57 392 6232820,Twimbo,189,25,b
93,Cra. 02 #32-22 ,1666700651,1668512225,421,"Cheese - Brie, Triple Creme",+57 372 7232322,Topicblab,187,23,u
137,Cra. 82 #02-02 ,1664603567,1667559191,422,Plastic Wrap,+57 322 5252023,Jetpulse,184,20,u
163,Cra. 02 #72-32 ,1665865951,1670758047,423,Basil - Seedlings Cookstown,+57 322 1212921,Ozu,187,25,b
88,Cra. 22 #72-12 ,1666044672,1669740235,424,Tea - Green,+57 322 1202327,Eazzy,189,25,lb
47,Cra. 12 #72-42 ,1664650308,1669175131,425,Glaze - Clear,+57 322 9242923,Demizz,184,25,lb
159,Cra. 52 #42-22 ,1666169316,1667490453,426,Beef - Top Sirloin,+57 352 9242320,Photospace,181,24,b
119,Cra. 02 #82-32 ,1666162932,1668952233,427,Sea Bass - Fillets,+57 312 7262720,Gabtype,186,24,b
137,Cra. 02 #42-42 ,1666441651,1667353538,428,Wine - Champagne Brut Veuve,+57 362 8272924,Lazz,191,24,b
51,Cra. 92 #22-62 ,1665424665,1667896992,429,Wine - Riesling Alsace Ac 2001,+57 392 4242629,Avamm,185,21,u
30,Cra. 62 #52-32 ,1666801364,1671317275,430,Shrimp - Black Tiger 13/15,+57 352 2292826,Gabtune,186,20,b
135,Cra. 82 #02-02 ,1666745095,1667920356,431,Soupfoamcont12oz 112con,+57 352 4272126,Zoomzone,190,24,u
105,Cra. 32 #62-32 ,1664694929,1670981426,432,Wine - Magnotta - Cab Sauv,+57 382 2282028,Kaymbo,196,20,u
110,Cra. 72 #62-12 ,1667081820,1667543123,433,Flour - Rye,+57 312 3232425,JumpXS,187,20,u
92,Cra. 62 #42-92 ,1664677137,1671153151,434,"Seedlings - Buckwheat, Organic",+57 332 6242127,Skipfire,199,21,b
116,Cra. 42 #72-62 ,1664969843,1670115154,435,Muffin Hinge Container 6,+57 382 9252126,Tagtune,182,20,u
127,Cra. 32 #22-02 ,1665714817,1669714406,436,Cream - 35%,+57 342 1242826,Leexo,180,23,u
134,Cra. 62 #32-02 ,1666044391,1669711693,437,Mini - Vol Au Vents,+57 302 7282626,Myworks,189,21,u
123,Cra. 12 #32-42 ,1665458356,1667307651,438,"Salmon - Atlantic, Skin On",+57 332 8212523,Browsecat,196,21,u
150,Cra. 32 #92-62 ,1665558991,1668350419,439,Muffin - Carrot Individual Wrap,+57 312 8202823,Blogtag,181,21,kg
29,Cra. 32 #12-02 ,1664768694,1670245680,440,Potatoes - Mini White 3 Oz,+57 322 3282326,Tagtune,195,22,u
95,Cra. 12 #32-82 ,1665297626,1670106380,441,Pastry - Apple Muffins - Mini,+57 312 2232221,Thoughtsphere,196,20,kg
163,Cra. 92 #62-42 ,1666520646,1668157433,442,Tomato - Tricolor Cherry,+57 382 3232023,Blogpad,196,20,u
136,Cra. 82 #22-92 ,1666627686,1669234944,443,Soup Campbells Beef With Veg,+57 342 3262423,Myworks,186,25,b
31,Cra. 82 #42-52 ,1666732032,1671928350,444,Venison - Racks Frenched,+57 392 0222628,Gevee,194,20,lb
123,Cra. 02 #12-52 ,1667110644,1669347818,445,"Glass - Wine, Plastic, Clear 5 Oz",+57 372 6232520,Browseblab,198,24,u
86,Cra. 12 #82-52 ,1666519858,1671358637,446,Appetizer - Crab And Brie,+57 322 2292723,Fivebridge,200,21,u
74,Cra. 82 #22-52 ,1666516389,1670775192,447,Thyme - Dried,+57 352 9232722,Rhynyx,187,21,u
